id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19217062,43 kvm cozy appartment with sunny balcony,96632492,Joachim,,Grorud,59.95088183,10.88329575,Entire home/apt,990,1,0,,,1,0
19217100,Bright and spacious loft w. lovely terrace,12446000,Mari,,Grünerløkka,59.92739098,10.75751256,Entire home/apt,1303,3,6,12/04/2018,0.35,1,18
19220245,Oase by the river in Oslo,49594717,Benny,,Sagene,59.94612968,10.76286965,Entire home/apt,702,2,2,08/08/2017,0.12,1,0
19220380,Lykkebo 1,35137017,Roar,,Grünerløkka,59.91678979,10.75978862,Entire home/apt,1015,2,20,16/11/2017,1.14,2,0
19220879,Apartment in central Oslo,134534317,Ole,,St. Hanshaugen,59.91572653,10.7550069,Entire home/apt,753,2,6,06/05/2018,0.35,1,10
19222597,"Modern, high standard apartment St.Hanshaugen Park",134550565,Henrik,,St. Hanshaugen,59.93017413,10.74693106,Entire home/apt,609,4,3,10/08/2017,0.18,1,0
19223017,"Seaside, central & modern at Sørenga!",73379665,Madeleine,,Gamle Oslo,59.90140453,10.75194055,Entire home/apt,998,3,3,23/07/2017,0.18,1,0
19223375,Quiet and modern apartment. 2 bedrooms.,110472127,Kristian,,Nordre Aker,59.94457376,10.77903055,Entire home/apt,694,2,7,05/11/2018,0.43,1,260
19223914,Classic and bright apartment - great location,40462098,Terje,,St. Hanshaugen,59.92277591,10.74268363,Entire home/apt,1193,3,26,25/10/2018,1.76,1,0
19224183,Leilighet på Ekebergsletta. Perfekt for Norway cup,37858701,Lars Petter,,Nordstrand,59.88721346,10.7829463,Entire home/apt,1201,6,1,05/08/2017,0.06,1,0
19224842,Family-friendly town house with terrace,57656275,Kjersti,,Østensjø,59.88490771,10.81693886,Entire home/apt,778,5,0,,,1,0
19231819,Room in modern apartment with Oslos best view.,78267036,Rafael,,Sagene,59.9331355,10.75941555,Private room,550,1,6,19/08/2018,1.2,1,175
19232431,A home away from home in the heart of Oslo,32074808,Michael,,Frogner,59.91956556,10.72199277,Entire home/apt,1599,2,5,06/09/2017,0.29,1,0
19234601,Christian Michelsens gate 1 A,134358809,Eivind Gabriel,,Grünerløkka,59.92744073,10.77643273,Private room,398,1,1,10/08/2017,0.06,1,0
19235460,Apartment in Frogner,59110421,Christine,,Frogner,59.91820079,10.71009131,Entire home/apt,507,1,14,30/09/2017,0.85,1,0
19235664,BJØLSEN - Nice flat with historical architecture,57744079,Tarik,,Sagene,59.944643,10.75870161,Entire home/apt,677,1,13,17/06/2018,0.8,1,0
19236847,Bright and Cosy Apartment in Central Oslo,134671087,Hanne,,Grünerløkka,59.92743527,10.76194792,Entire home/apt,897,2,8,03/01/2018,0.49,1,0
19237124,Spacious high ceiling beautiful apartment,3739591,Johannes,,St. Hanshaugen,59.91898286,10.74732412,Entire home/apt,2402,3,3,13/08/2017,0.19,5,0
19239137,Beautiful 4 bedroom home w/garden and terrace,134217473,Janne,,Nordre Aker,59.96808818,10.79095048,Entire home/apt,1548,2,10,18/11/2018,0.66,1,3
19239602,Cosy apartment with high standard,11130778,Kristian,,Frogner,59.91183411,10.72302162,Entire home/apt,964,1,15,07/10/2018,0.88,1,9
19239977,Loftsleilighet på Torshov,134653538,Mette,,Grünerløkka,59.93196852,10.76285665,Entire home/apt,1201,4,0,,,1,139
19241306,Nice and comfortable room,56717680,Gjermund,,Gamle Oslo,59.91148982,10.77165594,Private room,355,2,6,15/10/2017,0.35,1,0
19241404,Comfy apartment only 22 mins from City-Center,16352083,Sajad,,Alna,59.9142698,10.81986612,Private room,321,1,102,15/11/2018,5.92,1,59
19242308,Super central room in Majorstua,72008456,Kamelia,,Frogner,59.92872286,10.72476242,Private room,364,2,10,27/08/2017,0.59,1,0
19243606,Cozy 34 kvm apartment in central Oslo,18280624,Marte Sofie,,Grünerløkka,59.92889211,10.78285621,Entire home/apt,491,7,4,05/12/2017,0.24,1,0
19244033,New apartment. Close to Vigelandspark and Metro.,25359460,Kristin Dreyer,,Ullern,59.93471752,10.6782482,Entire home/apt,727,2,5,17/09/2017,0.31,1,154
19244200,"Sørenga. Close to city, Beach and restaurants",134739542,Alfhild,,Gamle Oslo,59.90151659,10.75276837,Private room,457,1,12,17/09/2017,0.71,2,0
19244731,Central studioapartment at Tøyen,29426706,Karoline,,Gamle Oslo,59.91208568,10.77038738,Entire home/apt,601,3,9,24/08/2018,0.57,1,93
19244785,Sofienbergparken.,35352292,Jan-Eirik,,Grünerløkka,59.92415279,10.7653153,Private room,702,1,0,,,1,0
19244989,Cozy Etterstad apartment! 10 min from central Oslo,31040101,Armando,,Gamle Oslo,59.90790926,10.80314197,Entire home/apt,643,2,2,03/09/2017,0.11,1,176
19245741,Nice and central apartment in Old Town of Oslo,129912016,Rune,,Gamle Oslo,59.90851578,10.77794177,Entire home/apt,1201,2,34,18/11/2018,3.43,1,56
